Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data,,,,
BlueStream,FLORIDA,74451.92697,Cable,200,15,1000,139.95,0,0,139.95,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,144461.3835,DSL,6,0.5,Inf,27.99,0,0,27.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,25,2,Inf,34.99,0,0,34.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Charter Communications, Inc.",FLORIDA,8134.4,Cable,300,20,Inf,89.99,0,0,89.99,0,Yes,,,,
"Charter Communications, Inc.",FLORIDA,8134.4,Cable,100,10,Inf,69.99,0,0,69.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"CenturyLink, Inc.",FLORIDA,1861924.8,DSL,100,1,1000,49,0,0,49,0,Yes,,,,
"Charter Communications, Inc.",FLORIDA,8134.4,Cable,940,35,Inf,129.99,0,0,129.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"Orlando Telephone Company, Inc.",FLORIDA,30240.26765,Cable,15,6,Inf,29.99,0,0,29.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,45,3,Inf,44.99,0,0,44.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,90,5,Inf,44.99,0,0,44.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"BellSouth Telecommunications, Inc.",FLORIDA,689898.0889,FTTH,940,940,1000,69.99,0,0,69.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"Atlantic Broadband Finance, LLC",FLORIDA,148903.8539,Cable,50,6,Inf,69.99,0,5.25,75.24,0,Yes,,,,
BlueStream,FLORIDA,49634.61798,Cable,120,12,1000,109.95,0,0,109.95,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Charter Communications, Inc.",FLORIDA,8134.4,Cable,400,20,Inf,89.99,0,0,89.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"Atlantic Broadband Finance, LLC",FLORIDA,148903.8539,Cable,400,20,Inf,99.99,0,5.25,105.24,0,Yes,,,,
BlueStream,FLORIDA,37225.96348,Cable,100,10,1000,74.95,0,0,74.95,0,Yes,,,,
"CenturyLink, Inc.",FLORIDA,1861924.8,FTTH,940,1,Inf,85,0,0,85,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,25,2,Inf,34.99,0,0,34.99,0,Yes,,,,
BlueStream,FLORIDA,37225.96348,Cable,100,10,1000,74.95,0,0,74.95,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"Atlantic Broadband Finance, LLC",FLORIDA,148903.8539,Cable,30,5,Inf,54.99,0,5.25,60.24,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,18,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,70,3,Inf,44.99,0,0,44.99,0,Yes,,,,
"BellSouth Telecommunications, Inc.",FLORIDA,689898.0889,DSL,75,20,1000,69.99,0,0,69.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,12,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,9,1,Inf,34.99,0,0,34.99,0,Yes,,,,
"BellSouth Telecommunications, Inc.",FLORIDA,6209082.8,DSL,6,0.512,150,61,0,0,61,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,144461.3835,DSL,3,0.375,Inf,27.99,0,0,27.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,144461.3835,DSL,6,0.5,Inf,27.99,0,0,27.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,45,3,Inf,44.99,0,0,44.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",FLORIDA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,72230.69174,DSL,18,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,FLORIDA,144461.3835,DSL,3,0.375,Inf,27.99,0,0,27.99,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,FTTH,75,8,Inf,55,0,6.77,61.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,104078.4,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,60249.9,FTTH,500,500,Inf,65,0,6.77,71.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,DSL,25,1.5,Inf,52.5,0,6.77,59.27,15,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,FTTH,100,20,Inf,65.7,0,0,65.7,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,Cable,100,20,Inf,65.7,0,0,65.7,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,DSL,75,8,Inf,55,0,6.77,61.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,FTTH,25,1.5,Inf,52.5,0,6.77,59.27,15,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,DSL,50,4,Inf,55,0,6.77,61.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,16066.64,Fixed wireless,75,8,Inf,45,0,6.77,51.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,DSL,75,8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,120499.8,Cable,300,25,Inf,55,0,6.77,61.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,40166.6,DSL,200,25,Inf,60,0,6.77,66.77,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,FTTH,150,30,Inf,72.4,0,0,72.4,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,16066.64,Fixed wireless,25,1.5,Inf,45,0,6.77,51.77,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,37225.96348,DSL,25,1,Inf,39.99,0,0,39.99,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,37225.96348,DSL,50,10,Inf,39.99,0,0,39.99,0,Yes,,,,
Cox Communications,GEORGIA,1529372.4,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
"Knology of Alabama, Inc.",GEORGIA,12115.2,Cable,100,10,Inf,44.99,0,0,44.99,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,FTTH,50,4,Inf,57.5,0,6.77,64.27,25,Yes,,,,
Cox Communications,GEORGIA,1529372.4,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,40166.6,FTTH,200,25,Inf,60,0,6.77,66.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,FTTH,50,4,Inf,55,0,6.77,61.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,6057.6,Cable,25,10,Inf,55.7,0,0,55.7,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,12049.98,DSL,100,14,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,Cable,150,30,Inf,72.4,0,0,72.4,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,100,10,1000,79.99,15,0,94.99,0,Yes,,,,
"Knology of Alabama, Inc.",GEORGIA,12115.2,Cable,500,50,Inf,59.99,0,0,59.99,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,FTTH,250,50,Inf,100.95,0,0,100.95,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,12049.98,DSL,50,1.8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
Cox Communications,GEORGIA,1529372.4,Cable,50,3,1280,65.99,0,0,65.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,60249.9,FTTH,400,400,Inf,65,0,6.77,71.77,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,37225.96348,DSL,12,0.75,Inf,39.99,0,0,39.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,12049.98,FTTH,100,14,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,240999.6,FTTH,500,500,Inf,72.5,0,6.77,79.27,15,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,16066.64,Fixed wireless,50,4,Inf,45,0,6.77,51.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"Knology of Alabama, Inc.",GEORGIA,12115.2,Cable,200,10,Inf,49.99,0,0,49.99,0,Yes,,,,
"Knology of Alabama, Inc.",GEORGIA,12115.2,Cable,1000,50,Inf,79.99,0,0,79.99,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,30124.95,DSL,300,41,Inf,65,0,6.77,71.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,DSL,200,25,Inf,60,0,6.77,66.77,30,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,DSL,50,1.8,Inf,55,0,6.77,61.77,0,Yes,,,,
Cox Communications,GEORGIA,1529372.4,Cable,150,10,1280,83.99,0,0,83.99,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,80333.2,FTTH,200,16,Inf,60,0,6.77,66.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,80333.2,FTTH,400,400,Inf,67.5,0,6.77,74.27,25,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,12049.98,FTTH,50,1.8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,1000,50,6000,139.99,15,0,154.99,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,15062.475,DSL,25,1.5,Inf,45,0,6.77,51.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,240999.6,Cable,1000,25,Inf,75,0,6.77,81.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,104078.4,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,6057.6,FTTH,50,10,Inf,55.7,0,0,55.7,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,FTTH,200,25,Inf,60,0,6.77,66.77,30,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,FTTH,100,8,Inf,55,0,6.77,61.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,DSL,50,4,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,120499.8,FTTH,1000,800,Inf,75,0,6.77,81.77,0,Yes,,,,
"Google Fiber Georgia, LLC",GEORGIA,148903.8539,FTTH,1000,1000,Inf,70,0,0,70,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,FTTH,300,41,Inf,67.5,0,6.77,74.27,25,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,104078.4,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,120499.8,Cable,400,25,Inf,55,0,6.77,61.77,0,Yes,,,,
"Knology of Alabama, Inc.",GEORGIA,12115.2,Cable,50,5,Inf,39.99,0,0,39.99,0,Yes,,,,
"Board of Water, Light & Sinking Fund Commissioners of the City of Dalton, Georgia d/b/a Dalton Utilities",GEORGIA,148903.8539,FTTH,250,250,Inf,70.45,0,1.6,72.05,17,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,120499.8,FTTH,1000,800,Inf,82.5,0,6.77,89.27,15,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,120499.8,FTTH,1000,1000,Inf,75,0,6.77,81.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,FTTH,50,1.8,Inf,55,0,6.77,61.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,240999.6,Cable,500,25,Inf,65,0,6.77,71.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,120499.8,FTTH,1000,1000,Inf,82.5,0,6.77,89.27,15,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,40166.6,DSL,300,41,Inf,67.5,0,6.77,74.27,25,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,200,20,2000,99.99,15,0,114.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,30124.95,FTTH,300,41,Inf,65,0,6.77,71.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
Cox Communications,GEORGIA,1529372.4,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,DSL,100,8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"Google Fiber Georgia, LLC",GEORGIA,148903.8539,FTTH,500,500,Inf,55,0,0,55,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,148903.8539,DSL,100,20,Inf,44.99,0,0,44.99,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,148903.8539,FTTH,1000,1000,Inf,79.99,0,0,79.99,20,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,48199.92,Cable,100,15,Inf,45,0,6.77,51.77,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,12115.2,Cable,250,50,Inf,100.95,0,0,100.95,0,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,60,5,60,29.99,15,0,44.99,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,FTTH,75,8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,DSL,100,8,Inf,55,0,6.77,61.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,15062.475,DSL,25,1.5,Inf,45,0,6.77,51.77,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,80333.2,FTTH,200,16,Inf,60,0,6.77,66.77,30,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,1000,35,1229,113,0,0,113,0,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,500,30,4000,119.99,15,0,134.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,6057.6,Cable,25,10,Inf,55.7,0,0,55.7,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,16066.64,Fixed wireless,100,8,Inf,45,0,6.77,51.77,0,Yes,,,,
"Board of Water, Light & Sinking Fund Commissioners of the City of Dalton, Georgia d/b/a Dalton Utilities",GEORGIA,148903.8539,FTTH,1000,1000,Inf,82.45,0,1.6,84.05,5,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,15062.475,FTTH,25,1.5,Inf,45,0,6.77,51.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,DSL,100,14,Inf,55,0,6.77,61.77,0,Yes,,,,
"WideOpenWest Georgia, LLC.",GEORGIA,6057.6,FTTH,50,10,Inf,55.7,0,0,55.7,0,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,60,5,200,49.99,15,0,64.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,148903.8539,FTTH,500,500,Inf,54.99,0,0,54.99,0,Yes,,,,
"Windstream Georgia, LLC",GEORGIA,8033.32,FTTH,100,8,Inf,57.5,0,6.77,64.27,25,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",GEORGIA,355953.4414,Cable,100,5,1229,73,0,0,73,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,15062.475,FTTH,25,1.5,Inf,45,0,6.77,51.77,0,Yes,,,,
"Georgia Windstream, LLC",GEORGIA,12049.98,FTTH,100,14,Inf,55,0,6.77,61.77,0,Yes,,,,
MCC Georgia LLC,GEORGIA,60480.5353,Cable,60,5,400,69.99,15,0,84.99,0,Yes,,,,
Ringgold Telephone Company,GEORGIA,37225.96348,DSL,6,0.375,Inf,39.99,0,0,39.99,0,Yes,,,,
"Board of Water, Light & Sinking Fund Commissioners of the City of Dalton, Georgia d/b/a Dalton Utilities",GEORGIA,148903.8539,FTTH,100,100,Inf,44.45,0,1.6,46.05,11,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,DSL,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,DSL,20,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,24817.30899,DSL,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,60480.5353,FTTH,1000,300,Inf,101.98,0,0,101.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,12096.10706,DSL,7,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,6048.05353,DSL,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,30240.26765,FTTH,750,300,Inf,81.98,0,0,81.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,49634.61798,FTTH,300,300,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,49634.61798,FTTH,300,300,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,FTTH,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,148903.8539,FTTH,1000,300,Inf,101.98,0,0,101.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,10080.08922,FTTH,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,7560.066913,DSL,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,10080.08922,DSL,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,DSL,20,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,FTTH,20,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,FTTH,11,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,6048.05353,DSL,11,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,FTTH,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,7560.066913,DSL,20,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,29780.77079,DSL,7,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,24817.30899,DSL,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,6048.05353,FTTH,11,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,30240.26765,FTTH,500,300,Inf,81.98,0,0,81.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,DSL,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,24817.30899,FTTH,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,DSL,11,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,FTTH,20,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,FTTH,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,74451.92697,FTTH,500,300,Inf,81.98,0,0,81.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,18612.98174,FTTH,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,7560.066913,FTTH,25,3,Inf,66.98,0,0,66.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,20160.17843,FTTH,300,300,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,74451.92697,FTTH,750,300,Inf,81.98,0,0,81.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,DSL,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,FTTH,11,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,6048.05353,FTTH,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,24817.30899,FTTH,50,3,Inf,76.98,0,0,76.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,74451.92697,FTTH,750,300,Inf,81.98,0,0,81.98,0,Yes,,,,
"Hawaiian Telcom, Inc.",HAWAII,14890.38539,DSL,15,1,Inf,56.98,0,0,56.98,0,Yes,,,,
